trajectory,time,lon,lat,status,start,nearest_beach,distance_m
1612,2025-12-16 14:04:16.786749,14.556901,35.822746,1.0,2025-12-15 17:19:16.786749,Delimara,1129.2406045528492
1617,2025-12-16 14:04:16.786749,14.556177,35.823486,1.0,2025-12-15 17:19:16.786749,Delimara,1025.0530777175618
1632,2025-12-16 14:34:16.786749,14.557033,35.82244,1.0,2025-12-15 17:19:16.786749,Delimara,1163.464985587145
1639,2025-12-16 15:04:16.786749,14.556153,35.82764,1.0,2025-12-15 17:19:16.786749,Delimara,701.9115309643257
1645,2025-12-16 14:04:16.786749,14.557568,35.821148,1.0,2025-12-15 17:19:16.786749,Delimara,1308.147460916655
1647,2025-12-16 16:19:16.786749,14.555853,35.827045,1.0,2025-12-15 17:19:16.786749,Delimara,717.8079928800008
1661,2025-12-16 14:04:16.786749,14.557109,35.821537,1.0,2025-12-15 17:19:16.786749,Delimara,1249.716271677537
1664,2025-12-16 14:19:16.786749,14.556396,35.823273,1.0,2025-12-15 17:19:16.786749,Delimara,1055.618032134559
1668,2025-12-16 14:34:16.786749,14.557353,35.82127,1.0,2025-12-15 17:19:16.786749,Delimara,1286.3247249453577
1675,2025-12-16 14:04:16.786749,14.556446,35.823143,1.0,2025-12-15 17:19:16.786749,Delimara,1069.8884184369006
1683,2025-12-16 15:04:16.786749,14.555363,35.826054,1.0,2025-12-15 17:19:16.786749,Delimara,759.148950483907
1686,2025-12-16 14:19:16.786749,14.5554695,35.824203,1.0,2025-12-15 17:19:16.786749,Delimara,923.817333908172
1687,2025-12-16 14:19:16.786749,14.557205,35.82161,1.0,2025-12-15 17:19:16.786749,Delimara,1247.7872115133866
1695,2025-12-16 16:04:16.786749,14.555436,35.826637,1.0,2025-12-15 17:19:16.786749,Delimara,718.4450431715051
1697,2025-12-16 14:34:16.786749,14.557712,35.821037,1.0,2025-12-15 17:19:16.786749,Delimara,1325.4567533993327
1703,2025-12-16 14:19:16.786749,14.556764,35.822777,1.0,2025-12-15 17:19:16.786749,Delimara,1119.3134589424963
1704,2025-12-16 14:34:16.786749,14.555424,35.82471,1.0,2025-12-15 17:19:16.786749,Delimara,876.1482843775445
1707,2025-12-16 14:04:16.786749,14.555878,35.823666,1.0,2025-12-15 17:19:16.786749,Delimara,993.4017778322335
1708,2025-12-16 14:49:16.786749,14.556606,35.82288,1.0,2025-12-15 17:19:16.786749,Delimara,1101.8793984137635
1710,2025-12-16 14:19:16.786749,14.555978,35.8236,1.0,2025-12-15 17:19:16.786749,Delimara,1004.413421220951
1712,2025-12-16 14:19:16.786749,14.556963,35.8218,1.0,2025-12-15 17:19:16.786749,Delimara,1218.2754800966363
